4,96
4,97
4,98
4,97
4,96
4,94
4,96
4,95
4,89
1,52
4,44
4,27
1,80
1,71
1,70
1,66
1,65
1,64
1,62
1,66
4,25
1,74
2,03
4,19
1,89
1,74
1,72
1,69
1,67
1,65
1,64
1,62
1,62
1,61
1,60
1,58
1,57
1,56
1,55
1,54
1,55
1,53
1,52
1,52
1,51
1,51
1,50
1,50
1,25
1,48
1,48
1,48
1,47
1,46
1,46
1,45
1,45
1,45
1,44
1,44
1,44
1,43
1,42
1,41
1,42
1,42
1,41
1,40
1,40
1,40
1,40
1,40
1,40
1,39
1,39
1,39
1,39
1,39
1,39
1,38
1,37
1,38
1,37
1,37
1,38
1,37
1,37
1,37
1,36
1,37
1,37
1,37
1,36
1,36
1,36
1,36
1,36
1,37
1,36
1,36
1,35
1,36
1,34
1,35
1,34
1,33
1,34
1,33
1,33
1,33
1,33
1,33
1,33
1,33
1,32
1,32
1,32
1,33
1,33
1,32
1,32
1,32
2,75
4,25
2,81
2,02
2,59
4,29
4,30
4,41
4,44
4,44
4,48
4,47
1,76
1,44
1,39
1,72
2,85
2,46
2,04
1,85
1,66
1,55
1,49
1,44
1,34
1,31
1,31
1,30
1,28
1,27
1,30
1,30
1,48
1,65
1,79
2,47
2,67
3,11
3,90
4,42
4,42
4,41
4,39
4,45
4,67
4,63
4,57
1,50
2,11
2,37
2,61
3,34
1,92
1,47
1,66
1,47
2,13
2,85
2,62
2,70
2,51
2,17
2,96
1,54
2,03
2,06
2,18
1,84
2,06
2,17
1,96
2,47
4,99
3,79
1,98
1,94
1,88
1,83
1,80
1,83
1,79
1,68
